Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours)
Station2_LOG00037,SRV012,CL-3,2025-08-01 09:40:00,50.42,36.42,,10.7,12.24,973.76,3.74
Station2_LOG00038,SRV008,CL-1,2025-08-01 18:23:00,37.32,73.4,13.96,20.52,13.35,979.68,8.78
Station2_LOG00039,SRV019,CL-2,2025-08-02 22:07:00,90.61,59.93,41.86,16.98,24.64,876.21,7.67
Station2_LOG00040,SRV011,CL-7,2025-08-02 03:05:00,64.78,50.07,18.42,8.21,6.88,768.14,8.89
Station2_LOG00041,SRV045,CL-2,2025-08-01 11:24:00,88.16,52.22,43.21,25.55,18.91,162.88,7.59
Station2_LOG00042,SRV097,CL-3,2025-08-02 03:43:00,23.1,52.89,78.67,28.22,3.61,932.24,9.46
Station2_LOG00043,SRV010,CL-4,2025-08-01 19:26:00,28.44,48.32,14.01,23.53,16.77,771.83,8.61
Station2_LOG00044,SRV027,CL-7,2025-08-02 08:50:00,66.07,80.9,62.48,13.1,7.75,837.87,0.46
Station2_LOG00045,SRV023,CL-1,2025-08-02 02:36:00,87.86,34.94,30.7,9.12,6.8,763.31,9.95
Station2_LOG00046,SRV028,CL-2,2025-08-02 16:40:00,10.46,36.06,60.57,28.96,,296.3,4.97
Station2_LOG00047,SRV063,CL-10,2025-08-01 06:04:00,53.48,51.7,28.91,5.81,17.89,315.31,8.69
Station2_LOG00048,SRV096,CL-4,2025-08-02 17:59:00,25.58,37.59,38.65,10.66,15.43,420.64,4.98
Station2_LOG00049,SRV010,CL-4,2025-08-02 13:33:00,15.45,83.42,78.79,22.92,11.17,524.32,6.97
Station2_LOG00050,SRV078,CL-1,2025-08-01 00:04:00,74.69,62.97,79.31,2.29,23.35,108.21,1.35
Station2_LOG00051,SRV028,CL-2,2025-08-02 09:02:00,49.63,73.63,40.61,17.39,6.67,974.5,5.86
Station2_LOG00052,SRV006,CL-4,2025-08-02 17:09:00,62.48,35.2,62.64,6.6,17.88,521.2,6.35
Station2_LOG00053,SRV066,CL-9,2025-08-01 08:09:00,46.59,43.01,70.75,23.69,6.3,861.5,3.88
Station2_LOG00054,SRV046,CL-7,2025-08-01 08:24:00,56.99,72.27,25.07,5.59,9.27,627.91,5.32
Station2_LOG00055,SRV019,CL-2,2025-08-02 13:11:00,92.43,43.2,26.21,6.37,16.39,257.46,0.86
Station2_LOG00056,SRV082,CL-10,2025-08-01 10:15:00,43.53,20.51,50.64,19.38,6.03,644.78,0.09
Station2_LOG00057,SRV023,CL-1,2025-08-01 12:33:00,48.62,46.86,61.02,11.8,10.91,426.82,8.6
Station2_LOG00058,SRV071,CL-2,2025-08-01 21:23:00,23.36,67.88,22.39,1.41,8.28,446.32,3.28
Station2_LOG00059,SRV073,CL-3,2025-08-01 00:44:00,20.35,37.4,53.59,3.6,18.93,772.42,9.92
Station2_LOG00060,SRV019,CL-2,2025-08-02 01:09:00,10.23,22.97,79.07,28.47,11.95,981.55,4.7
Station2_LOG00061,SRV089,CL-1,2025-08-01 23:01:00,88.13,87.32,31.93,20.9,3.04,315.46,7.82
Station2_LOG00062,SRV006,CL-4,2025-08-02 13:21:00,46.52,25.71,49.44,5.61,9.82,698.75,3.72
Station2_LOG00063,SRV017,CL-6,2025-08-02 14:48:00,40.82,,66.22,15.15,11.78,606.14,5.94
Station2_LOG00064,SRV029,CL-2,2025-08-01 15:11:00,52.87,63.49,42.47,11.22,11.58,404.41,7.79
Station2_LOG00065,SRV019,CL-2,2025-08-01 04:51:00,91.19,,,17.72,17.16,373.07,6.14
Station2_LOG00066,SRV006,CL-4,2025-08-01 01:40:00,34.45,51.68,48.42,21.92,2.56,466.13,2.27
Station2_LOG00067,SRV074,CL-3,2025-08-02 12:03:00,53.46,88.65,57.44,29.6,6.03,340.6,4.62
Station2_LOG00068,SRV096,CL-4,2025-08-01 22:33:00,14.7,61.71,29.41,5.17,17.52,943.96,7.86
Station2_LOG00069,SRV019,CL-2,2025-08-01 09:30:00,65.25,47.83,29.35,19.74,22.6,846.56,8.92
Station2_LOG00070,SRV029,CL-2,2025-08-02 07:43:00,48.35,77.4,16.91,16.42,23.6,814.08,2.06
Station2_LOG00071,SRV081,CL-4,2025-08-01 16:33:00,55,57.69,75.17,21.09,9.04,793.31,5.29
Station2_LOG00072,SRV081,CL-4,2025-08-02 15:20:00,37.83,27.08,29.11,15.98,11.03,612.93,3.66
Station2_LOG00073,SRV056,CL-4,2025-08-02 23:42:00,47.92,84.15,21.02,7.81,6.71,479.31,4.25
Station2_LOG00074,SRV023,CL-1,2025-08-02 18:19:00,66.37,54.3,68.49,6.9,19.71,793.03,7.26
Station2_LOG00075,SRV011,CL-7,2025-08-01 16:37:00,89.25,34.73,59.08,18.6,17.25,908.56,4.99
Station2_LOG00076,SRV012,CL-3,2025-08-02 05:58:00,51.7,49.19,12.06,15.35,5.71,790,0.18
Station2_LOG00077,SRV017,CL-6,2025-08-02 12:25:00,87.69,48.97,5.17,5.1,,839.81,1.98
Station2_LOG00078,SRV027,CL-7,2025-08-02 13:38:00,80.78,53.09,27.87,21.36,5.43,870.98,1.94
Station2_LOG00079,SRV017,CL-6,2025-08-02 02:09:00,93.69,65.06,49.52,28.96,4.15,842.62,8.63
Station2_LOG00080,SRV067,CL-5,2025-08-01 22:27:00,37.3,22.42,33.12,22.85,1.67,367.3,4.54
Station2_LOG00081,SRV056,CL-4,2025-08-02 10:44:00,10.89,64.76,51.26,20.07,10.73,487.32,4.33
Station2_LOG00082,SRV086,CL-4,2025-08-02 03:30:00,12.56,38,,24.52,22.91,576.9,2.06
Station2_LOG00083,SRV071,CL-2,2025-08-01 21:07:00,10.35,38.8,37.23,11.9,8.67,505.25,8.49
Station2_LOG00084,SRV035,CL-6,2025-08-01 20:23:00,62.21,21.78,64.36,15.59,22.73,518,0.62
Station2_LOG00085,SRV071,CL-2,2025-08-02 10:31:00,76,78.76,31.38,28.22,13.23,975.28,1.26
Station2_LOG00086,SRV070,CL-1,2025-08-02 16:17:00,13.78,40.84,46.95,22.54,,397.6,0.47
Station2_LOG00087,SRV097,CL-3,2025-08-01 00:19:00,66.71,74.87,59.03,4.94,20.58,480.13,9.08
Station2_LOG00088,SRV034,CL-6,2025-08-02 15:56:00,32.99,49.08,32.1,2.72,11.66,759.55,2.94
Station2_LOG00089,SRV074,CL-3,2025-08-02 13:31:00,40.78,33,44.54,23.41,6.94,600.93,9.44
Station2_LOG00090,SRV028,CL-2,2025-08-02 19:12:00,27.36,48.91,22.84,9.97,21.54,742.87,7.88
Station2_LOG00091,SRV084,CL-9,2025-08-01 01:26:00,89.15,50.34,46.44,12.13,23.59,735.26,6.79
Station2_LOG00092,SRV034,CL-6,2025-08-01 19:05:00,91.95,26.15,77.33,25.67,15.69,824.17,7.36
Station2_LOG00093,SRV078,CL-1,2025-08-01 19:18:00,66.46,48.56,32.32,5.62,16.28,808.14,6.01
Station2_LOG00094,SRV094,CL-8,2025-08-02 16:19:00,37.63,71.29,29.93,23.1,21,930.47,7.61
Station2_LOG00095,SRV050,CL-1,2025-08-01 00:24:00,24.82,21.72,17.34,10.91,8.77,968.16,1.69
Station2_LOG00096,SRV084,CL-9,2025-08-02 20:21:00,30.8,22.88,14.91,15,4.89,451.38,1.01
Station2_LOG00097,SRV029,CL-2,2025-08-02 03:56:00,79.66,,72.87,12.22,9.4,365.62,5.3
Station2_LOG00098,SRV056,CL-4,2025-08-02 22:41:00,37.74,55,12.84,5.4,14,165.4,2.34
Station2_LOG00099,SRV017,CL-6,2025-08-01 03:58:00,30.03,22,17.77,23.77,1.55,368.73,7.31
Station2_LOG00100,SRV008,CL-1,2025-08-01 07:49:00,79.23,33.02,26.36,23.59,21.2,856.36,4.9
Station2_LOG00101,SRV008,CL-1,2025-08-01 09:03:00,77.47,24.86,56.04,11.57,7.86,737.99,2.11
Station2_LOG00102,SRV026,CL-2,2025-08-01 21:51:00,17.45,85.67,16.26,12.78,1.46,532.49,5.57
Station2_LOG00103,SRV026,CL-2,2025-08-01 16:34:00,10.18,84.74,61.6,21.68,7.16,339.68,9.08
Station2_LOG00104,SRV027,CL-7,2025-08-01 22:50:00,23.76,57.18,65.28,29.34,12.04,578.68,4.66
Station2_LOG00105,SRV017,CL-6,2025-08-02 00:35:00,22.51,46.43,71.85,26.85,0.69,915.23,5.29
Station2_LOG00106,SRV028,CL-2,2025-08-01 23:53:00,53.03,,7.49,20.23,8.26,384.11,8.52
Station2_LOG00107,SRV073,CL-3,2025-08-02 11:17:00,60.87,,68.2,1.98,6.88,264.72,1.62
Station2_LOG00108,SRV019,CL-2,2025-08-01 18:58:00,69.2,58.38,76.82,5.52,16.52,278,0.78
Station2_LOG00109,SRV014,CL-10,2025-08-02 08:41:00,45.78,21.31,43.49,21.33,9.59,824.16,0.05
Station2_LOG00110,SRV006,CL-4,2025-08-02 18:18:00,53.67,,27.58,23.28,0.85,784.25,2.96
Station2_LOG00111,SRV078,CL-1,2025-08-01 12:08:00,55.73,66.23,41.24,16.04,23.6,671.35,1.55
Station2_LOG00112,SRV006,CL-4,2025-08-02 11:35:00,57.23,58.16,28.82,0.54,14.56,673.24,8.06
Station2_LOG00113,SRV097,CL-3,2025-08-01 23:16:00,16.76,59.38,22.67,13.4,15.36,695.45,8.48
Station2_LOG00114,SRV084,CL-9,2025-08-02 11:53:00,91.81,,40.89,14.15,18.86,244.23,1.14
Station2_LOG00115,SRV067,CL-5,2025-08-01 06:24:00,52.48,20.57,,18.52,23.5,814.49,2.59
Station2_LOG00116,SRV029,CL-2,2025-08-02 01:18:00,29.99,67.48,20.11,25.89,1.97,665.56,8
Station2_LOG00117,SRV019,CL-2,2025-08-02 03:06:00,58,24.02,23.12,11.93,,827.99,1.68
Station2_LOG00118,SRV023,CL-1,2025-08-01 18:28:00,60.66,79.46,22.35,21.98,23.58,939.94,4.2
Station2_LOG00119,SRV027,CL-7,2025-08-02 23:19:00,81.99,48.2,59.35,25.39,19.37,931.32,4.96
Station2_LOG00120,SRV026,CL-2,2025-08-02 03:14:00,71.88,82.63,48.38,23.74,23.71,692,5.24
Station2_LOG00121,SRV040,CL-6,2025-08-02 06:55:00,49.87,,53.4,5.25,1.42,305.89,4.06
Station2_LOG00122,SRV035,CL-6,2025-08-02 12:05:00,17.56,44.88,21.61,18.29,3.55,316.54,3.43
Station2_LOG00123,SRV028,CL-2,2025-08-02 07:59:00,11.99,70.8,15.13,12.35,24.55,707.75,0.21
Station2_LOG00124,SRV020,CL-9,2025-08-01 06:07:00,48.89,62.8,47.98,21.69,4.34,454.97,9.83
Station2_LOG00125,SRV074,CL-3,2025-08-02 12:18:00,62.1,22.45,21.76,13.62,8.27,936.28,3.78
Station2_LOG00126,SRV032,CL-4,2025-08-01 03:07:00,85.56,58,30.12,5.85,14.87,678.65,2.94
Station2_LOG00127,SRV014,CL-10,2025-08-01 17:26:00,44.51,82.75,53.42,19.09,1.38,516.52,3.24
Station2_LOG00128,SRV027,CL-7,2025-08-02 13:52:00,16.65,,22.87,22.49,2.52,534.13,1.49
Station2_LOG00129,SRV066,CL-9,2025-08-01 06:26:00,50.16,89.64,72.59,13.55,24.15,850.52,4.71
Station2_LOG00130,SRV086,CL-4,2025-08-02 10:53:00,16.74,24.01,32.12,12.26,11.39,848.71,8.8
Station2_LOG00131,SRV016,CL-2,2025-08-01 20:32:00,20.95,36.47,,13.13,14.2,706.1,2.81
Station2_LOG00132,SRV027,CL-7,2025-08-01 21:06:00,82.08,40.28,45.28,15.95,4.07,358.9,5.83
Station2_LOG00133,SRV008,CL-1,2025-08-01 20:15:00,67.01,39.94,52.08,2.55,14.09,508.14,7.69
Station2_LOG00134,SRV074,CL-3,2025-08-01 20:30:00,52.61,67.97,10.12,14.59,,309.47,2.44
Station2_LOG00135,SRV012,CL-3,2025-08-01 01:27:00,88.72,77.21,75.71,15.91,24.97,617.27,7.47
Station2_LOG00136,SRV082,CL-10,2025-08-02 17:34:00,43.41,30.16,35.68,22.37,,599.46,5.44
Station2_LOG00137,SRV014,CL-10,2025-08-01 17:38:00,58.18,21.87,24.77,18.13,17,502.4,0.35
Station2_LOG00138,SRV078,CL-1,2025-08-01 13:31:00,61.68,50.79,40.53,23.62,8.18,473.19,2.36
Station2_LOG00139,SRV054,CL-9,2025-08-02 02:33:00,28.54,65.93,73.93,23.51,,745.59,7.09
Station2_LOG00140,SRV017,CL-6,2025-08-02 23:58:00,58.65,52.2,38.86,1.74,5.62,653.72,0.85
Station2_LOG00141,SRV016,CL-2,2025-08-02 13:58:00,64.24,30.02,35.9,21.3,24.57,124.77,3.78
Station2_LOG00142,SRV091,CL-2,2025-08-02 23:06:00,37.2,86.03,60.3,22.75,23.34,330.92,3.69
Station2_LOG00143,SRV073,CL-3,2025-08-01 02:06:00,35.63,34.85,70.57,6.33,20.48,901.74,0.65
Station2_LOG00144,SRV036,CL-9,2025-08-01 21:07:00,73.19,26.22,72.41,13.15,6.78,450.15,0.3
Station2_LOG00145,SRV008,CL-1,2025-08-02 10:56:00,19.68,84.25,62.38,27.58,23.76,670.01,4.04
Station2_LOG00146,SRV091,CL-2,2025-08-01 09:32:00,82.27,88.54,44.78,13,14.49,511.25,0.38
Station2_LOG00147,SRV091,CL-2,2025-08-01 03:48:00,31.22,75,25.24,24.19,4.44,491.03,9.78
Station2_LOG00148,SRV043,CL-8,2025-08-01 21:06:00,24,24.29,11.36,17.29,23.81,101.45,8.29
Station2_LOG00149,SRV014,CL-10,2025-08-01 15:11:00,23.39,89.74,52.64,11.76,18.37,271.07,0.6
Station2_LOG00150,SRV077,CL-1,2025-08-02 03:33:00,71.1,51.1,42.41,24.63,15.6,847.67,5.53
Station2_LOG00151,SRV063,CL-10,2025-08-02 03:51:00,29.43,,46.18,5.19,0.89,874.51,2.22
Station2_LOG00152,SRV067,CL-5,2025-08-02 22:13:00,14.52,47.28,33.25,12.14,22.84,739.6,8.88
Station2_LOG00153,SRV027,CL-7,2025-08-02 23:50:00,92.59,78.39,34.38,19.15,20.37,711.14,9.54
Station2_LOG00154,SRV010,CL-4,2025-08-01 01:57:00,66.57,,71.23,8.82,14.46,419.8,7.37
Station2_LOG00155,SRV035,CL-6,2025-08-02 04:54:00,76.6,23.83,6.67,21.02,3.57,230.08,8
Station2_LOG00156,SRV091,CL-2,2025-08-02 05:53:00,53.78,22.11,47.19,15.52,6.11,389.79,3.06
Station2_LOG00157,SRV071,CL-2,2025-08-02 13:52:00,63.33,24.17,23.15,4.48,7.33,289.22,7.07
Station2_LOG00158,SRV074,CL-3,2025-08-01 17:04:00,26.53,67.67,35.16,19.18,13.9,816.42,5.18
Station2_LOG00159,SRV026,CL-2,2025-08-01 20:48:00,88.38,74.36,61.52,24.95,6.86,900.26,0.93
Station2_LOG00160,SRV016,CL-2,2025-08-02 23:21:00,43.45,86.34,59.25,23.54,2.89,725.95,4.42
Station2_LOG00161,SRV036,CL-9,2025-08-02 04:26:00,45.73,88.16,35.44,13.95,18.64,557.51,3.39
Station2_LOG00162,SRV078,CL-1,2025-08-02 23:18:00,52.21,83.2,67.71,26.53,11.23,187.69,7
Station2_LOG00163,SRV014,CL-10,2025-08-02 02:36:00,19.97,52.16,29.89,27.27,4.88,131.06,7.04
Station2_LOG00164,SRV014,CL-10,2025-08-01 07:39:00,36.93,51.32,64.77,22.76,18.35,846.13,7.66
Station2_LOG00165,SRV094,CL-8,2025-08-02 09:44:00,37.39,,57.64,26.28,5.58,841.59,5.36
Station2_LOG00166,SRV097,CL-3,2025-08-02 23:16:00,55.2,86.09,25.32,23.58,19.66,466.81,5.38
Station2_LOG00167,SRV006,CL-4,2025-08-02 01:04:00,14.62,80.61,16.92,11.02,3.11,426.85,5.63
Station2_LOG00168,SRV071,CL-2,2025-08-01 12:40:00,69.38,34.39,61.01,8.1,12.07,705.05,0.56
Station2_LOG00169,SRV010,CL-4,2025-08-01 23:08:00,77.36,67.23,43.59,4.78,20.76,852.63,1.53
Station2_LOG00170,SRV028,CL-2,2025-08-01 01:55:00,91.46,82.77,60.57,1.55,4.36,797.53,3.8
Station2_LOG00171,SRV089,CL-1,2025-08-01 16:13:00,30.49,71.74,72.91,22.27,12.08,310.72,8.84
Station2_LOG00172,SRV094,CL-8,2025-08-02 18:52:00,39.92,48.55,8.26,2.84,7.33,810.93,8.93
Station2_LOG00173,SRV054,CL-9,2025-08-02 11:12:00,87.34,76.69,22.57,5.42,13.47,679.76,7.04
Station2_LOG00174,SRV045,CL-2,2025-08-02 21:40:00,37.7,40.07,47.49,23.21,4.91,329.31,7.12
Station2_LOG00175,SRV071,CL-2,2025-08-01 00:41:00,55.83,61.28,18.82,29.94,23.45,876.43,4.04
Station2_LOG00176,SRV013,CL-2,2025-08-01 10:59:00,51.83,42.25,20.5,29.57,7.19,112.28,5.3
Station2_LOG00177,SRV027,CL-7,2025-08-02 12:52:00,92.35,88.54,32.45,20.15,0.51,806.53,7.12
Station2_LOG00178,SRV091,CL-2,2025-08-02 23:10:00,48.55,57.79,30.11,26.28,3.41,538.51,8.74
Station2_LOG00179,SRV035,CL-6,2025-08-02 15:47:00,65.64,36.63,69.78,14.54,,424.7,9.78
Station2_LOG00180,SRV089,CL-1,2025-08-01 00:56:00,94.79,27.08,,2.38,22.14,381.55,7.57
Station2_LOG00181,SRV091,CL-2,2025-08-02 04:41:00,86.25,56.66,51.98,18.43,0.98,136.17,9.73
Station2_LOG00182,SRV035,CL-6,2025-08-02 20:48:00,87.46,79.84,19.44,26.32,16.83,648.15,8.86
Station2_LOG00183,SRV010,CL-4,2025-08-01 20:45:00,14.7,,49.08,3.62,24.67,816.16,5.72
Station2_LOG00184,SRV017,CL-6,2025-08-01 00:01:00,24.82,88.59,45.94,12.7,16.7,619.66,7.54
Station2_LOG00185,SRV014,CL-10,2025-08-01 02:32:00,29.1,53.42,28.32,24.97,2.59,713.28,6.81
Station2_LOG00186,SRV013,CL-2,2025-08-02 17:41:00,68.03,52.41,64.58,6.43,22.92,672.12,6.71
Station2_LOG00187,SRV001,CL-8,2025-08-02 07:28:00,46.97,34.44,41.35,11.62,6.8,682.05,9.64
Station2_LOG00188,SRV074,CL-3,2025-08-01 13:10:00,93.44,84,31.13,20.72,15.38,884.06,9.55
Station2_LOG00189,SRV084,CL-9,2025-08-02 15:16:00,32.49,88.4,45.18,17.95,21.4,511.19,9.7
Station2_LOG00190,SRV041,CL-10,2025-08-02 11:36:00,32.61,89.41,49.37,20.12,22.76,187.68,3.56
Station2_LOG00191,SRV086,CL-4,2025-08-01 12:48:00,11.41,66.62,63.59,8.13,12.27,239.32,7.43
Station2_LOG00192,SRV032,CL-4,2025-08-02 04:18:00,17.94,,16.62,4.03,9.47,584.39,5.77
Station2_LOG00193,SRV036,CL-9,2025-08-02 06:23:00,18.32,71.79,68.66,27.5,0.55,755.58,2.38
Station2_LOG00194,SRV032,CL-4,2025-08-02 07:14:00,80.88,87.46,57.54,27.03,10.65,319.03,9.1
Station2_LOG00195,SRV028,CL-2,2025-08-02 22:29:00,21.54,24.66,27.9,3.38,24.9,990.36,0.44
Station2_LOG00196,SRV028,CL-2,2025-08-01 12:16:00,73.44,53.83,41.07,13.31,22.3,471.45,5.6
Station2_LOG00197,SRV023,CL-1,2025-08-01 18:34:00,63.99,51.69,34.92,14.62,13.99,323.48,5.72
Station2_LOG00198,SRV045,CL-2,2025-08-02 12:51:00,93.57,56.66,30.82,19.17,23.67,847.64,6.27
Station2_LOG00199,SRV010,CL-4,2025-08-01 06:34:00,63.91,35.45,42.78,17.31,7.92,162.83,6.92
Station2_LOG00200,SRV089,CL-1,2025-08-02 06:21:00,33.98,83.34,23.29,20.61,10.36,919.51,8.89
Station2_LOG00201,SRV012,CL-3,2025-08-02 12:24:00,84.98,65.24,5.01,20.6,11.73,536.67,7.5
Station2_LOG00202,SRV012,CL-3,2025-08-01 02:47:00,51.37,39.4,18.41,9.29,23.71,484.69,5.67
Station2_LOG00203,SRV006,CL-4,2025-08-02 12:28:00,60,,49,4.71,23.49,652.03,0.36
Station2_LOG00204,SRV050,CL-1,2025-08-02 12:38:00,39.36,22.08,48.24,7.64,17.91,265.95,1.87
Station2_LOG00205,SRV027,CL-7,2025-08-02 11:15:00,85.05,43.81,52.96,20.12,23.05,441.4,9.89
Station2_LOG00206,SRV020,CL-9,2025-08-01 06:55:00,86.35,81.06,73.77,26.63,17.35,770.62,0.74
Station2_LOG00207,SRV012,CL-3,2025-08-01 13:42:00,56,76.2,5.82,3.3,23.91,294.76,4.78
Station2_LOG00208,SRV028,CL-2,2025-08-01 05:30:00,43.02,28.17,39.15,26.37,5.81,201.58,2.97
Station2_LOG00209,SRV016,CL-2,2025-08-01 18:52:00,67,25.09,8.5,5.46,11.96,661.11,2.9
Station2_LOG00210,SRV029,CL-2,2025-08-01 21:08:00,45.69,62.09,23,21,13.11,434.21,5.37
Station2_LOG00211,SRV036,CL-9,2025-08-02 13:15:00,86.46,33.73,13.62,5.36,1.72,924.4,0.54
Station2_LOG00212,SRV089,CL-1,2025-08-01 21:12:00,86.46,,7.36,3.19,4.76,818.33,5
Station2_LOG00213,SRV084,CL-9,2025-08-02 12:22:00,67.48,72.07,42.81,18.97,14.34,679.36,7.24
Station2_LOG00214,SRV070,CL-1,2025-08-02 06:02:00,48.28,64.54,32.36,8.63,7.59,363.37,8.83
Station2_LOG00215,SRV045,CL-2,2025-08-01 11:05:00,78.25,25,29.77,29.7,20.86,629.41,2.45
Station2_LOG00216,SRV043,CL-8,2025-08-02 21:06:00,81.79,46.4,35.31,20.66,4.22,155.94,0.24
Station2_LOG00217,SRV050,CL-1,2025-08-01 20:15:00,44.62,71.21,73.65,11.34,6.24,165.46,4.27
Station2_LOG00218,SRV043,CL-8,2025-08-01 16:59:00,73.68,35.46,13.29,5.12,24.05,366.11,2.53
Station2_LOG00219,SRV029,CL-2,2025-08-01 02:52:00,46.77,70.13,72,0.99,1.37,516.26,6.39
Station2_LOG00220,SRV026,CL-2,2025-08-02 17:02:00,57.89,71.48,45.55,9.69,1.34,663.34,5.74
Station2_LOG00221,SRV012,CL-3,2025-08-02 21:25:00,85.07,54.11,11.35,12.4,9.18,458.42,3.88
Station2_LOG00222,SRV010,CL-4,2025-08-01 00:12:00,72.13,76.88,8.69,3.8,13.64,392.42,1.97
Station2_LOG00223,SRV056,CL-4,2025-08-02 14:59:00,82.28,23.2,33.94,6.05,0.66,419,3
Station2_LOG00224,SRV045,CL-2,2025-08-02 10:11:00,15.88,26.55,72.49,5.07,4.08,226.45,3.95
Station2_LOG00225,SRV077,CL-1,2025-08-02 03:05:00,75.99,31.04,57.34,15.02,,690.21,5.55
Station2_LOG00226,SRV036,CL-9,2025-08-02 15:12:00,72.95,28.24,67.87,16.99,0.64,718.65,9.17
Station2_LOG00227,SRV074,CL-3,2025-08-01 23:58:00,68.09,43.91,63.53,19.94,0.65,466.7,1.78
Station2_LOG00228,SRV067,CL-5,2025-08-02 23:19:00,40.75,40.76,30.82,18.97,2.86,987.08,1.39
Station2_LOG00229,SRV001,CL-8,2025-08-02 18:43:00,62.94,66.07,38.92,21.5,,410.02,6.92
