Log_ID,Server_ID,Server_Cluster,Log_Timestamp,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Config_Version,Last_Patch_Date,Deployment_Token
Station1_LOG00018,SRV071,CL-2,2025-08-02 22:33:00,76.61,30.5,49.33,0.86,13.82,146.02,0.18,v1.0.0,2024-05-02 00:00:00,XB1Z337C7N
Station1_LOG00019,SRV020,CL-9,2025-08-02 20:18:00,70.23,42.22,65.07,25.64,12.98,656.71,1.09,v1.1.2,2024-08-28 00:00:00,Y0CGQ4HPVI
Station1_LOG00020,SRV012,CL-3,2025-08-02 15:09:00,65.03,36.57,48.31,1.52,21.74,804.1,2.72,v3.1.0,2024-09-26 00:00:00,WD96HHWMF1
Station1_LOG00021,SRV071,CL-2,2025-08-01 12:00:00,59.5,88.15,,3.42,0.68,458.93,4.74,v3.1.0,2024-04-12 00:00:00,ENW34Y6FFY
Station1_LOG00022,SRV043,CL-8,2025-08-02 06:13:00,18.02,57.13,7.6,29.17,22.15,906.9,2.93,v1.1.2,2024-01-10 00:00:00,NRY632IIPS
Station1_LOG00023,SRV094,CL-8,2025-08-01 02:22:00,79.66,71.04,40.72,18.96,14.48,695.5,8.79,v3.1.0,2024-01-17 00:00:00,GV2ESF4NDR
Station1_LOG00024,SRV056,CL-4,2025-08-01 10:38:00,23.52,54.28,39.85,28.84,21.98,949.75,1.95,v1.1.2,2024-09-22 00:00:00,U8Z8R2W71T
Station1_LOG00025,SRV084,CL-9,2025-08-01 17:37:00,56.46,85.97,67.35,29.03,2.94,996.11,3.65,v2.0.3,2024-03-05 00:00:00,H8HYF87SW1
Station1_LOG00026,SRV070,CL-1,2025-08-01 19:56:00,51.64,33.77,9.36,4.08,24.31,390.32,8.82,v1.1.2,2024-12-27 00:00:00,XY4G8ON3W9
Station1_LOG00027,SRV041,CL-10,2025-08-01 14:24:00,16.68,29.11,,9.6,15.83,942.46,0.6,v3.1.0,2024-04-03 00:00:00,4EBO2J3AYI
Station1_LOG00028,SRV097,CL-3,2025-08-02 14:09:00,22.94,57.61,72.63,26.89,1.75,286.72,7.76,v2.0.3,2024-03-01 00:00:00,5C1GXSKOUZ
Station1_LOG00029,SRV097,CL-3,2025-08-02 20:50:00,13.77,66.45,12.54,1.67,21.44,315.56,9.14,v3.1.0,2024-01-12 00:00:00,LU27XNPZCU
Station1_LOG00030,SRV010,CL-4,2025-08-02 21:57:00,26.34,46.75,21.02,20.88,,462.45,7.04,v1.0.0,2024-10-24 00:00:00,N9VQR2C23A
Station1_LOG00031,SRV050,CL-1,2025-08-01 11:31:00,73.7,61.13,9.75,7.73,,121.22,7.22,v3.1.0,2024-02-05 00:00:00,0DL7U1P8OT
Station1_LOG00032,SRV050,CL-1,2025-08-02 20:11:00,12.96,22.55,,7.81,13.85,956.93,0.79,v3.1.0,2024-04-03 00:00:00,FRRCV1EXYB
Station1_LOG00033,SRV032,CL-4,2025-08-01 23:09:00,94.33,86.09,6.42,24.5,8.71,175.52,4.01,v3.1.0,2024-11-18 00:00:00,PIWHWU6YHV
Station1_LOG00034,SRV026,CL-2,2025-08-02 19:00:00,52.48,36.36,50.47,5.17,4.15,716.15,4,v2.0.3,2024-03-08 00:00:00,EBEC41RN9U
Station1_LOG00035,SRV041,CL-10,2025-08-02 07:08:00,66.78,34.18,52.54,8.57,,967.49,9.14,v1.0.0,2024-01-05 00:00:00,PUOLXPOUV7
Station1_LOG00036,SRV067,CL-5,2025-08-01 06:04:00,21.8,77.86,41.94,12.73,19.15,662.34,5.21,v3.1.0,2024-12-02 00:00:00,JLAILHHVNJ
Station1_LOG00037,SRV035,CL-6,2025-08-02 05:07:00,54.41,86.14,6,25.69,5.6,939.05,4.97,v1.0.0,2024-11-19 00:00:00,XEZIHZVZGM
Station1_LOG00038,SRV043,CL-8,2025-08-01 11:01:00,38.5,79.03,63.02,3.23,8.65,193.11,2.06,v3.1.0,2024-05-08 00:00:00,94W6WUUMO7
Station1_LOG00039,SRV043,CL-8,2025-08-02 04:15:00,79.79,77.36,14.33,1.3,21.33,679.94,6.58,v2.0.3,2024-05-24 00:00:00,HZ22KEUVIV
Station1_LOG00040,SRV082,CL-10,2025-08-01 17:38:00,41.26,50.29,31.04,21.96,4.52,618.71,0.48,v2.0.3,2024-07-09 00:00:00,A14ZGIVSE0
Station1_LOG00041,SRV035,CL-6,2025-08-01 14:55:00,48.42,47.29,5.71,7.86,5.33,133.36,3.89,v2.0.3,2024-02-08 00:00:00,F891QCG41R
Station1_LOG00042,SRV011,CL-7,2025-08-01 20:34:00,69.11,53.03,40.93,27.66,20.9,505.97,1.36,v3.1.0,2024-06-11 00:00:00,RV4EIBKPK7
Station1_LOG00043,SRV048,CL-9,2025-08-01 10:07:00,38.84,51.4,17.71,24.53,0.81,318.05,4.57,v1.0.0,2024-03-24 00:00:00,5D2H5LOMZO
Station1_LOG00044,SRV082,CL-10,2025-08-01 22:34:00,54.02,62.73,56.77,20.54,7.41,571.59,5.73,v1.0.0,2024-09-14 00:00:00,8CUHCZTGZO
Station1_LOG00045,SRV097,CL-3,2025-08-01 15:06:00,22.87,,47.73,20.29,11.57,955.94,4.25,v2.0.3,2024-01-07 00:00:00,KG3FYE4HQG
Station1_LOG00046,SRV074,CL-3,2025-08-02 03:45:00,18.01,62.41,28.88,0.97,6.98,230.74,4.48,v3.1.0,2024-12-19 00:00:00,O0YX2TBT68
Station1_LOG00047,SRV082,CL-10,2025-08-01 21:25:00,81.47,71.39,63.97,18.09,6.12,520.48,9.62,v2.0.3,2024-07-25 00:00:00,UB5XX9PKQG
Station1_LOG00048,SRV012,CL-3,2025-08-01 02:33:00,84.35,63.6,71.62,24.14,22.31,800.49,6.02,v1.1.2,2024-09-26 00:00:00,2NBFU7PMQM
Station1_LOG00049,SRV014,CL-10,2025-08-01 10:53:00,17.97,32.59,64.67,23.8,17.18,909.97,0.48,v1.1.2,2024-01-05 00:00:00,ALUDHAAHOP
Station1_LOG00050,SRV011,CL-7,2025-08-02 23:15:00,40,59.04,47.33,18.3,14.56,386.62,1.81,v2.0.3,2024-01-15 00:00:00,4FRV1L6CKN
Station1_LOG00051,SRV050,CL-1,2025-08-01 03:49:00,86.23,,46.29,5.01,7.45,323.45,0.49,v2.0.3,2024-08-06 00:00:00,IHZ8EEKC8U
Station1_LOG00052,SRV023,CL-1,2025-08-01 01:07:00,83.34,,19.88,8.03,21.64,931.27,2.5,v1.1.2,2024-05-02 00:00:00,5C3Z6J5Q1D
Station1_LOG00053,SRV020,CL-9,2025-08-02 08:30:00,32,57.22,22.94,15.91,3.81,932.23,8.22,v2.0.3,2024-07-04 00:00:00,W37GJNXI5P
Station1_LOG00054,SRV014,CL-10,2025-08-02 22:15:00,30.43,20.54,22.21,2.34,18.77,521.85,2.8,v1.0.0,2024-03-05 00:00:00,LB82MOTZ60
Station1_LOG00055,SRV001,CL-8,2025-08-01 10:03:00,45.17,59.13,54.21,2.35,11.64,307.03,9.14,v3.1.0,2024-10-25 00:00:00,72DD9EQSIM
Station1_LOG00056,SRV048,CL-9,2025-08-02 22:59:00,58.01,63.79,20.84,14.46,4.67,899.03,1.55,v1.0.0,2024-11-03 00:00:00,QB3KBWIFD8
Station1_LOG00057,SRV028,CL-2,2025-08-02 18:08:00,23.22,33.61,35.78,3.81,2.63,508.24,3.98,v1.0.0,2024-08-04 00:00:00,GFRNJHQFMK
Station1_LOG00058,SRV077,CL-1,2025-08-01 09:51:00,91.01,77.01,76.93,20.85,6.33,823.64,8.97,v2.0.3,2024-10-21 00:00:00,N860ATH9KP
Station1_LOG00059,SRV082,CL-10,2025-08-01 01:15:00,78.93,25.08,38.84,19.5,13.49,367.89,1.47,v2.0.3,2024-01-09 00:00:00,Q2ANY1YC1L
Station1_LOG00060,SRV050,CL-1,2025-08-02 22:32:00,84.36,28.7,75.04,26.84,18.78,124.85,0.7,v1.1.2,2024-07-14 00:00:00,WH8VLIG7R2
Station1_LOG00061,SRV029,CL-2,2025-08-01 10:55:00,31.83,32.48,42.3,13.06,,549.39,9.28,v1.0.0,2024-07-12 00:00:00,TFVAN0FVEL
Station1_LOG00062,SRV078,CL-1,2025-08-02 04:01:00,11.1,39.73,50.78,6.52,17.16,508.43,6.37,v3.1.0,2024-04-14 00:00:00,IY3XGWK1GP
Station1_LOG00063,SRV027,CL-7,2025-08-01 05:11:00,56.21,44.83,61.32,23.62,4.63,671.06,6.83,v2.0.3,2024-02-07 00:00:00,HDX1BJT4ZF
Station1_LOG00064,SRV045,CL-2,2025-08-02 19:51:00,12.44,,50.5,23.16,24.24,776.32,7.3,v1.1.2,2024-02-12 00:00:00,0S6ENFPPRO
Station1_LOG00065,SRV063,CL-10,2025-08-01 00:34:00,50.26,76.1,14.44,3.25,13.32,606.7,8.38,v2.0.3,2024-09-18 00:00:00,CLLE4A2G76
Station1_LOG00066,SRV014,CL-10,2025-08-02 09:59:00,77.96,88.04,74.86,7.85,14.09,395.38,4.88,v2.0.3,2024-09-11 00:00:00,18WK501EPE
Station1_LOG00067,SRV027,CL-7,2025-08-01 20:13:00,22.67,28.7,71.97,14.78,2.03,513.87,6.68,v3.1.0,2024-03-06 00:00:00,CGLCKWT2E0
Station1_LOG00068,SRV040,CL-6,2025-08-02 10:53:00,40.92,31.2,22.55,21.94,18.74,733.59,0.22,v1.0.0,2024-02-16 00:00:00,5Q3OV9JYDF
Station1_LOG00069,SRV023,CL-1,2025-08-02 23:40:00,63.88,21.13,19.1,23.9,,499.99,8.19,v1.1.2,2024-07-14 00:00:00,O00ZCMHFMT
Station1_LOG00070,SRV031,CL-7,2025-08-01 12:52:00,53.06,61.87,,10.54,9.45,241.21,9.73,v2.0.3,2024-03-09 00:00:00,ITIZ7TFP3G
Station1_LOG00071,SRV084,CL-9,2025-08-02 14:32:00,38.4,27.48,15.25,28.45,16.69,799.09,3.7,v3.1.0,2024-03-27 00:00:00,QPII49H5VN
Station1_LOG00072,SRV073,CL-3,2025-08-01 13:54:00,49.5,63.37,9.18,1.95,6.6,887.46,0.05,v1.0.0,2024-09-11 00:00:00,W58611GQIT
Station1_LOG00073,SRV091,CL-2,2025-08-01 07:25:00,74.79,,79.92,5.95,21.4,304.79,3.22,v1.1.2,2024-04-08 00:00:00,ZFY40I6QV4
Station1_LOG00074,SRV032,CL-4,2025-08-02 12:04:00,89.44,26.08,31.89,14.13,16.64,656.8,3.7,v1.0.0,2024-07-16 00:00:00,RDB103GW7S
Station1_LOG00075,SRV048,CL-9,2025-08-02 20:39:00,71.07,27.57,61.6,9.45,20.96,668.99,0.73,v1.1.2,2024-08-20 00:00:00,QOQSD8P4XT
Station1_LOG00076,SRV066,CL-9,2025-08-01 20:24:00,68.11,88.93,47.83,9.31,2.49,524.22,0.15,v1.0.0,2024-12-27 00:00:00,0ZNZ3T1WM3
Station1_LOG00077,SRV056,CL-4,2025-08-01 09:26:00,41.55,30.18,63.53,1.46,3.74,521.52,5.4,v1.1.2,2024-06-11 00:00:00,IJPW105UVQ
Station1_LOG00078,SRV005,CL-3,2025-08-02 18:49:00,40.05,70.27,73.56,5.66,18.06,138.34,0.5,v2.0.3,2024-02-25 00:00:00,PWRUTVLYJM
Station1_LOG00079,SRV081,CL-4,2025-08-02 18:10:00,61.88,60.47,21.65,4.39,17.93,473.26,3.09,v1.1.2,2024-10-26 00:00:00,SKOI4SWH0T
Station1_LOG00080,SRV008,CL-1,2025-08-02 12:24:00,78.39,48.66,49.95,2,6.76,968.21,7.93,v1.0.0,2024-05-10 00:00:00,L2FX35LG49
Station1_LOG00081,SRV054,CL-9,2025-08-01 11:11:00,35.23,74.04,25.01,13.43,10.45,560.85,6.54,v3.1.0,2024-05-18 00:00:00,VC4GTJS1A5
Station1_LOG00082,SRV077,CL-1,2025-08-02 15:07:00,82.86,22.41,41.4,13.41,23.08,459.66,9.1,v2.0.3,2024-08-10 00:00:00,YTIVR40DM9
Station1_LOG00083,SRV073,CL-3,2025-08-01 16:08:00,87.94,,15.65,26.71,1.03,208.72,0.32,v2.0.3,2024-01-02 00:00:00,ABMOYD52MH
Station1_LOG00084,SRV078,CL-1,2025-08-02 00:24:00,62.8,68.46,28.52,17.89,13.55,637.38,2.31,v1.1.2,2024-08-18 00:00:00,X6KQB166XT
Station1_LOG00085,SRV046,CL-7,2025-08-01 11:03:00,44.54,87.98,66.53,16.71,12.26,347.43,8.6,v1.0.0,2024-11-25 00:00:00,HNYBJK8JV7
Station1_LOG00086,SRV016,CL-2,2025-08-02 02:51:00,59.26,22.47,59.39,16.94,1.8,589.54,6.83,v3.1.0,2024-06-06 00:00:00,KBF2E6WPRL
Station1_LOG00087,SRV094,CL-8,2025-08-02 05:02:00,75.4,24.75,70.36,9.52,11.63,959.66,2.8,v1.0.0,2024-10-01 00:00:00,LHWXPBRRNT
Station1_LOG00088,SRV008,CL-1,2025-08-02 22:44:00,66,41.15,44.91,2.18,13.36,768.04,0.36,v3.1.0,2024-06-06 00:00:00,D3IIA38K0H
Station1_LOG00089,SRV032,CL-4,2025-08-01 11:20:00,39.67,25.42,70.11,19.26,10.34,981.16,1.96,v1.0.0,2024-12-08 00:00:00,OX87CZR7XW
Station1_LOG00090,SRV066,CL-9,2025-08-02 07:37:00,36.91,75.14,6.62,11.99,2.69,365.47,7.05,v1.1.2,2024-10-12 00:00:00,UZLLGYG4F4
Station1_LOG00091,SRV034,CL-6,2025-08-01 06:55:00,60.36,50,51.27,6.31,20.47,558.02,5.95,v2.0.3,2024-10-03 00:00:00,QB6TWNVJQJ
Station1_LOG00092,SRV034,CL-6,2025-08-01 15:43:00,75.83,63.02,14.92,26.54,15.15,490.92,3.44,v1.1.2,2024-05-15 00:00:00,504K34EUZ9
Station1_LOG00093,SRV014,CL-10,2025-08-02 07:21:00,85.95,26.79,35.61,18.72,14.45,777.27,3.96,v1.1.2,2024-01-11 00:00:00,ISBHTP5CH3
Station1_LOG00094,SRV066,CL-9,2025-08-02 11:34:00,14.05,64.27,32.16,26.33,18.04,741.29,6.36,v1.0.0,2024-09-16 00:00:00,S63UMGTHKT
Station1_LOG00095,SRV031,CL-7,2025-08-01 12:33:00,59.69,38.51,63.98,22.95,3.57,134.69,1.54,v3.1.0,2024-12-10 00:00:00,O3HLI32BS5
Station1_LOG00096,SRV008,CL-1,2025-08-02 00:19:00,44.96,54.8,76.64,19.44,16.12,917.43,0.21,v3.1.0,2024-08-03 00:00:00,0PNF3VCLHO
Station1_LOG00097,SRV034,CL-6,2025-08-02 16:07:00,84.65,66.29,21.06,16.59,4.71,680.47,7.81,v3.1.0,2024-05-11 00:00:00,BVVBBBVMIA
Station1_LOG00098,SRV028,CL-2,2025-08-01 15:58:00,49.8,89.85,73.09,26.34,2.49,384.41,4.19,v1.0.0,2024-12-03 00:00:00,TOS6GKJ71K
Station1_LOG00099,SRV081,CL-4,2025-08-02 21:44:00,78.12,52.25,7.22,24.99,11.75,447.65,0.29,v1.1.2,2024-09-12 00:00:00,36LZMS804B
Station1_LOG00100,SRV094,CL-8,2025-08-01 09:47:00,50.36,,47.08,20.03,21.85,388.56,1.47,v1.0.0,2024-03-10 00:00:00,TGV46Q71T6
Station1_LOG00101,SRV071,CL-2,2025-08-01 17:55:00,17.2,88.34,77.36,29.48,5.29,373.43,9.85,v1.1.2,2024-07-16 00:00:00,1F99DGHBTM
Station1_LOG00102,SRV091,CL-2,2025-08-02 05:39:00,68.91,70.23,50.74,12.65,6.94,705.75,6.24,v1.1.2,2024-10-16 00:00:00,4C8MA30W78
Station1_LOG00103,SRV084,CL-9,2025-08-02 15:06:00,43.89,78.21,27.13,19.71,2.35,763.47,2.88,v3.1.0,2024-10-02 00:00:00,NF57VH2D3L
Station1_LOG00104,SRV063,CL-10,2025-08-02 10:26:00,27.42,37.72,,0.55,11.51,373.44,8.63,v1.0.0,2024-11-11 00:00:00,HYA0EIVA8T
Station1_LOG00105,SRV029,CL-2,2025-08-02 15:09:00,64.72,45.38,16.6,10.82,14.86,398.63,7.67,v2.0.3,2024-06-04 00:00:00,IPUYLTDSEK
Station1_LOG00106,SRV034,CL-6,2025-08-01 04:09:00,32.24,35.64,51.38,25.36,6.28,876.1,6.93,v1.1.2,2024-07-03 00:00:00,672TH1FPHM
Station1_LOG00107,SRV035,CL-6,2025-08-02 16:55:00,35.4,89.66,63.78,23.01,16.25,306.24,2.01,v1.0.0,2024-12-01 00:00:00,WT994PN8QI
Station1_LOG00108,SRV012,CL-3,2025-08-02 20:25:00,27.94,50.5,68.49,10.98,15.68,569.31,3.55,v3.1.0,2024-10-06 00:00:00,M2ENI8WX46
Station1_LOG00109,SRV089,CL-1,2025-08-02 08:11:00,44.11,87.94,56.17,28.52,12.54,108.68,1.9,v3.1.0,2024-11-13 00:00:00,OMIGC3J3YC
Station1_LOG00110,SRV045,CL-2,2025-08-01 07:09:00,88.66,85.42,59.18,26.55,12.77,124.2,7.36,v2.0.3,2024-11-07 00:00:00,M5WK3BNEGU
Station1_LOG00111,SRV086,CL-4,2025-08-01 00:05:00,54.48,46.96,28.83,28.11,,895.3,8.01,v1.1.2,2024-08-14 00:00:00,HE45JJJE1I
Station1_LOG00112,SRV005,CL-3,2025-08-01 21:38:00,42.33,24.64,37.71,19.42,15.63,157.88,3.59,v1.0.0,2024-07-16 00:00:00,OZ4XV87UGT
Station1_LOG00113,SRV017,CL-6,2025-08-01 18:59:00,22.07,84.56,34.47,10.93,15.46,845.81,9.68,v2.0.3,2024-06-04 00:00:00,4I3L0Q4EJH
Station1_LOG00114,SRV082,CL-10,2025-08-02 19:48:00,86.95,36.24,56.81,16.92,19.2,237.29,8.17,v1.0.0,2024-02-25 00:00:00,N3JZ3H8V16
Station1_LOG00115,SRV020,CL-9,2025-08-02 10:37:00,20.85,68.47,49.67,23.72,2.5,963.3,0.62,v2.0.3,2024-09-08 00:00:00,0HKRAJIAA6
Station1_LOG00116,SRV050,CL-1,2025-08-01 23:49:00,56.3,55.19,23.54,11,8.16,835.23,0.99,v1.0.0,2024-03-18 00:00:00,EEJGBJXG56
Station1_LOG00117,SRV086,CL-4,2025-08-02 17:43:00,41.26,,71.25,26.8,6.88,774.27,5.58,v1.1.2,2024-01-09 00:00:00,1CCYY4JUFN
Station1_LOG00118,SRV035,CL-6,2025-08-01 16:23:00,73.3,54.66,22.38,8.16,5.58,650.37,9.67,v3.1.0,2024-12-20 00:00:00,L87FJ8B0UF
Station1_LOG00119,SRV010,CL-4,2025-08-02 02:36:00,55.94,32.5,22.78,27.03,16.47,790.83,4.61,v1.1.2,2024-03-06 00:00:00,N942GA3YYG
Station1_LOG00120,SRV016,CL-2,2025-08-01 06:48:00,51.95,24.49,50.07,6.13,15.21,817.18,7.02,v1.1.2,2024-05-13 00:00:00,SDNBATQXC7
Station1_LOG00121,SRV078,CL-1,2025-08-01 02:23:00,23.84,,77.4,19.25,19.07,425.2,7.37,v3.1.0,2024-07-24 00:00:00,EUH8VAQVBD
Station1_LOG00122,SRV067,CL-5,2025-08-01 16:36:00,83.12,87.4,79.55,24.88,1.65,201.16,3.95,v1.0.0,2024-01-26 00:00:00,QWD1BQFDTN
Station1_LOG00123,SRV006,CL-4,2025-08-01 02:48:00,40.28,60.53,15.21,24.88,19.06,943.01,7.85,v3.1.0,2024-08-05 00:00:00,GA3L71029D
Station1_LOG00124,SRV097,CL-3,2025-08-01 11:24:00,70.38,39.15,19.68,29.06,14.59,688.31,8.2,v1.0.0,2024-08-09 00:00:00,LO9FIK47EM
Station1_LOG00125,SRV029,CL-2,2025-08-01 06:20:00,59,43.28,,14.78,1.12,424.36,7.92,v1.1.2,2024-10-09 00:00:00,1F070VK32R
Station1_LOG00126,SRV014,CL-10,2025-08-01 12:18:00,13.13,81.94,,19.35,16.91,972.74,7.25,v3.1.0,2024-11-21 00:00:00,MD7QCQ3ZA8
Station1_LOG00127,SRV010,CL-4,2025-08-01 09:08:00,94.98,52.38,73.36,27.36,2.1,828.69,4.3,v2.0.3,2024-02-13 00:00:00,BDUD8T7D2T
Station1_LOG00128,SRV082,CL-10,2025-08-02 03:37:00,68.05,81.78,57.39,2.02,18.43,363.44,3.59,v3.1.0,2024-05-16 00:00:00,U26SPHNCAS
Station1_LOG00129,SRV010,CL-4,2025-08-01 21:17:00,42.86,59.38,,17.33,4.67,198.93,2.08,v3.1.0,2024-11-18 00:00:00,99DBK4EPBO
Station1_LOG00130,SRV050,CL-1,2025-08-02 12:07:00,77.65,20.93,75.35,20.99,1.51,178.71,2.96,v1.1.2,2024-07-20 00:00:00,8W429KJPQ8
Station1_LOG00131,SRV006,CL-4,2025-08-02 10:25:00,92.99,46.56,58.95,15.4,1.82,437.87,9.29,v3.1.0,2024-06-09 00:00:00,PF4G9H0Y05
Station1_LOG00132,SRV050,CL-1,2025-08-02 00:31:00,89.5,22.03,,16,15.78,714.15,2.28,v1.1.2,2024-01-02 00:00:00,ATN209QVWA
Station1_LOG00133,SRV041,CL-10,2025-08-02 11:34:00,26.36,75.9,23.56,22.24,21.59,836.06,1.4,v1.0.0,2024-05-04 00:00:00,OAU4DU0FIY
Station1_LOG00134,SRV086,CL-4,2025-08-01 13:45:00,43.27,64.6,79.86,18.48,23.17,432.74,4.79,v3.1.0,2024-12-23 00:00:00,WNT0K9875T
Station1_LOG00135,SRV094,CL-8,2025-08-02 08:46:00,51.41,28,25.38,14.96,3.98,575.64,5.75,v1.0.0,2024-10-27 00:00:00,4VJHP60IQ7
Station1_LOG00136,SRV056,CL-4,2025-08-02 11:43:00,65.74,23.52,52.57,23.72,16.23,501.39,7.18,v2.0.3,2024-12-09 00:00:00,LFU2FAW2XC
Station1_LOG00137,SRV034,CL-6,2025-08-01 13:53:00,81.75,36.14,11.81,7.29,15.31,960.57,3.55,v1.0.0,2024-08-11 00:00:00,NUVK6JOPZD
Station1_LOG00138,SRV045,CL-2,2025-08-02 13:34:00,46.66,41.63,57.84,4.36,5.06,128.59,1.43,v1.1.2,2024-12-25 00:00:00,TDS7XSV18F
Station1_LOG00139,SRV013,CL-2,2025-08-02 02:41:00,83.53,66.36,38.96,10.29,8.46,467.56,0.23,v1.0.0,2024-08-09 00:00:00,Y6Q2M8OF7M
Station1_LOG00140,SRV013,CL-2,2025-08-02 07:01:00,55.16,,17.06,1.2,18.36,865.27,4.03,v1.0.0,2024-09-05 00:00:00,TLTY7W29MA
Station1_LOG00141,SRV066,CL-9,2025-08-02 21:26:00,94.75,60.55,16.8,18.21,20.17,808.65,4.75,v1.0.0,2024-08-20 00:00:00,GBPADUSQB0
Station1_LOG00142,SRV073,CL-3,2025-08-01 11:59:00,94.61,55.8,62.99,1.61,21.95,318.63,0.95,v3.1.0,2024-02-12 00:00:00,DB68ZA0PL8
Station1_LOG00143,SRV081,CL-4,2025-08-01 17:39:00,63.26,56.82,77.12,15.01,3.06,492.38,1.31,v2.0.3,2024-11-06 00:00:00,69PHWN8DDI
Station1_LOG00144,SRV032,CL-4,2025-08-02 00:58:00,65.71,51.69,57.35,9.09,11.27,805.77,8,v1.1.2,2024-12-10 00:00:00,RFIUPROG71
Station1_LOG00145,SRV019,CL-2,2025-08-02 22:22:00,41.8,83.2,43.29,20.01,4.1,965.79,7.31,v3.1.0,2024-08-01 00:00:00,S4ZNMZOFE9
Station1_LOG00146,SRV097,CL-3,2025-08-02 18:25:00,91.86,41.92,10.63,7.22,3.44,411.94,8.45,v3.1.0,2024-09-28 00:00:00,42KQCFCHAO
Station1_LOG00147,SRV034,CL-6,2025-08-01 07:25:00,27.88,69.17,35.5,10.77,2.32,754.46,1.56,v2.0.3,2024-03-05 00:00:00,I53LLP0NFD
Station1_LOG00148,SRV020,CL-9,2025-08-01 05:55:00,42.35,72.23,24.17,28.76,23.98,558.8,8.45,v2.0.3,2024-03-12 00:00:00,J2AOY2XDEY
Station1_LOG00149,SRV036,CL-9,2025-08-02 17:48:00,28.57,37.53,40.88,15.93,15.87,820.6,9.37,v1.1.2,2024-08-08 00:00:00,AYIIY2S530
Station1_LOG00150,SRV082,CL-10,2025-08-02 12:03:00,21.42,86.88,40.56,15.03,15.65,418.27,6.63,v1.0.0,2024-07-13 00:00:00,J1MDDBD3NH
Station1_LOG00151,SRV027,CL-7,2025-08-01 19:02:00,52.28,,34.02,11.45,2.74,340.73,3.5,v1.0.0,2024-02-23 00:00:00,OL0TA8RD05
